COMMUNE_CODE,PARC_2011,PARC_2022,evo_11_22
01001,298,313,5.033557046979865
01002,95,102,7.368421052631578
01004,4523,5063,11.938978554057043
01005,654,738,12.844036697247708
01006,49,53,8.16326530612245
01007,971,1108,14.109165808444901
01008,301,316,4.983388704318937
01009,133,159,19.548872180451127
01010,411,533,29.683698296836987
01011,149,162,8.724832214765101
01012,130,122,-6.153846153846154
01013,58,77,32.758620689655174
01014,1418,1502,5.923836389280677
01015,249,270,8.433734939759036
01016,166,208,25.301204819277107
01017,175,178,1.7142857142857144
01019,7,13,85.71428571428571
01021,453,523,15.45253863134658
01022,430,432,0.46511627906976744
01023,26,44,69.23076923076923
01024,1099,1229,11.828935395814376
01025,1571,1748,11.266709102482496
01026,264,349,32.196969696969695
01027,653,698,6.891271056661561
01028,266,268,0.7518796992481203
01029,227,261,14.977973568281937
01030,263,263,0.0
01031,1212,1236,1.9801980198019802
01032,1187,1221,2.864363942712721
01033,5003,6147,22.866280231860884
01034,2906,3045,4.783207157604955
01035,137,128,-6.569343065693431
01036,508,575,13.188976377952756
01037,117,135,15.384615384615385
01038,291,336,15.463917525773196
01039,176,210,19.318181818181817
01040,205,241,17.560975609756095
01041,266,267,0.37593984962406013
01042,93,123,32.25806451612903
01043,1789,2057,14.980435997764113
01044,190,225,18.421052631578945
01045,108,105,-2.7777777777777777
01046,285,343,20.350877192982455
01047,444,516,16.216216216216218
01049,1129,1135,0.5314437555358724
01050,94,142,51.06382978723404
01051,39,34,-12.82051282051282
01052,129,120,-6.976744186046512
01053,12494,12939,3.561709620617896
01054,479,552,15.24008350730689
01056,138,127,-7.971014492753622
01057,202,216,6.9306930693069315
01058,294,365,24.149659863945576
01060,190,231,21.578947368421055
01061,456,484,6.140350877192982
01062,287,355,23.693379790940767
01063,230,251,9.130434782608695
01064,396,501,26.515151515151516
01065,678,686,1.1799410029498525
01066,42,37,-11.904761904761903
01067,88,106,20.454545454545457
01068,255,299,17.254901960784313
01069,575,554,-3.6521739130434785
01071,1092,1449,32.69230769230769
01072,1028,1061,3.2101167315175094
01073,387,407,5.167958656330749
01074,826,895,8.353510895883778
01075,452,565,25.0
01076,46,63,36.95652173913043
01077,78,89,14.102564102564102
01078,269,365,35.687732342007436
01079,254,277,9.05511811023622
01080,251,262,4.382470119521913
01081,291,369,26.804123711340207
01082,202,216,6.9306930693069315
01083,313,412,31.629392971246006
01084,267,353,32.20973782771536
01085,142,161,13.380281690140844
01087,100,109,9.0
01088,376,422,12.23404255319149
01089,721,939,30.235783633841883
01090,147,131,-10.884353741496598
01092,656,663,1.0670731707317074
01093,1671,1744,4.368641532016756
01094,291,305,4.810996563573884
01095,314,306,-2.547770700636943
01096,407,444,9.090909090909092
01098,393,468,19.083969465648856
01099,545,596,9.357798165137615
01100,62,58,-6.451612903225806
01101,63,69,9.523809523809524
01102,340,412,21.176470588235293
01103,334,546,63.47305389221557
01104,178,158,-11.235955056179774
01105,502,674,34.26294820717131
01106,60,76,26.666666666666668
01107,52,58,11.538461538461538
01108,428,486,13.551401869158877
01109,558,752,34.76702508960574
01110,38,72,89.47368421052632
01111,39,54,38.46153846153847
01112,162,184,13.580246913580247
01113,295,320,8.47457627118644
01114,148,207,39.86486486486486
01115,464,547,17.887931034482758
01116,204,187,-8.333333333333332
01117,55,59,7.2727272727272725
01118,406,509,25.36945812807882
01121,48,58,20.833333333333336
01123,380,421,10.789473684210527
01124,266,332,24.81203007518797
01125,237,216,-8.860759493670885
01127,189,196,3.7037037037037033
01128,116,137,18.103448275862068
01129,96,121,26.041666666666668
01130,824,958,16.2621359223301
01133,147,171,16.3265306122449
01134,644,711,10.403726708074535
01135,506,627,23.91304347826087
01136,335,396,18.208955223880597
01138,1136,1201,5.721830985915493
01139,176,190,7.954545454545454
01140,291,309,6.185567010309279
01141,193,189,-2.072538860103627
01142,1599,1873,17.13570981863665
01143,2086,2512,20.421860019175455
01145,491,536,9.164969450101832
01146,147,161,9.523809523809524
01147,197,245,24.36548223350254
01148,772,797,3.2383419689119166
01149,423,389,-8.037825059101655
01150,66,78,18.181818181818183
01151,445,504,13.258426966292136
01152,335,324,-3.2835820895522385
01153,432,572,32.407407407407405
01155,64,58,-9.375
01156,289,347,20.069204152249135
01157,774,953,23.126614987080103
01158,242,280,15.702479338842975
01159,1270,1434,12.913385826771654
01160,1681,1922,14.336704342653183
01162,26,29,11.538461538461538
01163,745,846,13.557046979865772
01165,511,585,14.481409001956946
01166,750,832,10.933333333333334
01167,268,276,2.9850746268656714
01169,221,259,17.194570135746606
01170,364,466,28.021978021978022
01171,327,341,4.281345565749235
01173,2994,3739,24.883099532398127
01174,63,72,14.285714285714285
01175,272,350,28.676470588235293
01177,68,77,13.23529411764706
01179,711,753,5.9071729957805905
01180,197,253,28.426395939086298
01181,474,495,4.430379746835443
01183,524,603,15.076335877862595
01184,301,310,2.990033222591362
01185,1635,1483,-9.296636085626911
01187,281,311,10.676156583629894
01188,234,247,5.555555555555555
01189,423,467,10.401891252955082
01190,48,41,-14.583333333333334
01191,66,67,1.5151515151515151
01192,834,862,3.357314148681055
01193,87,102,17.24137931034483
01194,1949,1959,0.513083632632119
01195,555,617,11.17117117117117
01196,409,518,26.65036674816626
01197,131,148,12.977099236641221
01198,90,112,24.444444444444443
01199,778,800,2.827763496143959
01200,73,106,45.20547945205479
01202,2567,2733,6.466692637319829
01203,430,522,21.3953488372093
01204,258,287,11.24031007751938
01206,94,105,11.702127659574469
01207,99,135,36.36363636363637
01208,54,54,0.0
01209,199,308,54.773869346733676
01210,68,96,41.17647058823529
01211,505,535,5.9405940594059405
01212,285,301,5.614035087719298
01213,507,542,6.903353057199212
01214,79,65,-17.72151898734177
01215,44,56,27.27272727272727
01216,361,358,-0.8310249307479225
01219,67,72,7.462686567164178
01224,1092,1330,21.794871794871796
01225,163,159,-2.4539877300613497
01227,219,254,15.981735159817351
01228,272,279,2.5735294117647056
01229,398,467,17.33668341708543
01230,125,139,11.200000000000001
