COMMUNE_CODE,PARC_2011,PARC_2022,evo_11_22
01001,0,6,inf
01002,0,2,inf
01004,0,113,inf
01005,0,14,inf
01006,0,0,
01007,0,22,inf
01008,0,5,inf
01009,0,2,inf
01010,0,4,inf
01011,0,2,inf
01012,0,1,inf
01014,0,17,inf
01015,0,4,inf
01016,0,2,inf
01017,0,2,inf
01021,0,11,inf
01022,0,1,inf
01024,0,24,inf
01025,0,32,inf
01026,0,5,inf
01027,0,15,inf
01028,0,4,inf
01029,0,2,inf
01030,0,6,inf
01031,0,6,inf
01032,0,12,inf
01033,0,60,inf
01034,0,40,inf
01035,0,1,inf
01036,0,4,inf
01037,0,2,inf
01038,0,5,inf
01039,0,1,inf
01040,0,2,inf
01041,0,2,inf
01043,0,60,inf
01044,0,3,inf
01045,0,4,inf
01046,0,2,inf
01047,0,20,inf
01049,0,39,inf
01050,0,1,inf
01052,0,1,inf
01053,0,310,inf
01054,0,17,inf
01056,0,4,inf
01057,0,2,inf
01058,0,7,inf
01060,0,4,inf
01061,0,2,inf
01062,0,15,inf
01063,0,6,inf
01064,0,3,inf
01065,0,11,inf
01067,0,1,inf
01068,0,4,inf
01069,0,6,inf
01071,0,103,inf
01072,0,24,inf
01073,0,7,inf
01074,0,17,inf
01075,0,5,inf
01078,0,18,inf
01079,0,2,inf
01080,0,3,inf
01081,0,3,inf
01082,0,4,inf
01083,0,5,inf
01084,0,6,inf
01085,0,1,inf
01087,0,2,inf
01088,0,9,inf
01089,0,19,inf
01090,0,2,inf
01092,0,9,inf
01093,1,35,3400.0
01095,0,3,inf
01096,0,10,inf
01098,2,3,50.0
01099,0,15,inf
01102,0,4,inf
01103,0,19,inf
01104,0,0,
01105,0,29,inf
01106,0,1,inf
01107,0,3,inf
01108,0,5,inf
01109,0,23,inf
01111,0,1,inf
01112,0,3,inf
01113,0,6,inf
01114,0,4,inf
01115,0,11,inf
01116,0,0,
01118,0,10,inf
01121,0,1,inf
01123,0,6,inf
01124,0,7,inf
01125,0,4,inf
01127,0,2,inf
01129,0,2,inf
01130,0,19,inf
01133,0,1,inf
01134,0,7,inf
01135,0,49,inf
01136,0,3,inf
01138,0,11,inf
01139,0,0,
01140,0,7,inf
01141,0,4,inf
01142,0,33,inf
01143,0,172,inf
01145,0,3,inf
01146,0,1,inf
01147,0,1,inf
01148,0,5,inf
01149,0,15,inf
01151,0,9,inf
01152,0,7,inf
01153,0,48,inf
01156,0,4,inf
01157,0,28,inf
01158,0,16,inf
01159,0,13,inf
01160,0,67,inf
01163,0,10,inf
01165,0,16,inf
01166,0,19,inf
01167,0,5,inf
01169,0,3,inf
01170,0,5,inf
01171,0,8,inf
01173,0,92,inf
01174,0,1,inf
01175,0,3,inf
01179,0,5,inf
01180,0,21,inf
01181,0,1,inf
01183,0,17,inf
01184,0,4,inf
01185,0,12,inf
01187,0,2,inf
01188,0,3,inf
