COMMUNE_CODE,PARC_2011,PARC_2022,evo_11_22
01001,173,213,23.121387283236995
01002,61,52,-14.754098360655737
01004,2823,3623,28.338646829613882
01005,306,473,54.57516339869281
01006,20,27,35.0
01007,506,725,43.280632411067195
01008,173,224,29.47976878612717
01009,84,96,14.285714285714285
01010,174,256,47.12643678160919
01011,59,93,57.6271186440678
01012,75,79,5.333333333333334
01013,25,30,20.0
01014,700,862,23.142857142857142
01015,150,178,18.666666666666668
01016,87,95,9.195402298850574
01017,90,97,7.777777777777778
01019,4,4,0.0
01021,260,378,45.38461538461539
01022,256,320,25.0
01023,17,6,-64.70588235294117
01024,709,924,30.32440056417489
01025,822,914,11.19221411192214
01026,213,238,11.737089201877934
01027,373,468,25.46916890080429
01028,116,125,7.758620689655173
01029,133,145,9.022556390977442
01030,172,224,30.23255813953488
01031,843,903,7.11743772241993
01032,633,742,17.21958925750395
01033,3204,3606,12.54681647940075
01034,1915,2185,14.099216710182768
01035,76,97,27.631578947368425
01036,306,371,21.241830065359476
01037,44,67,52.27272727272727
01038,176,237,34.659090909090914
01039,113,124,9.734513274336283
01040,75,84,12.0
01041,179,235,31.28491620111732
01042,56,77,37.5
01043,1109,1455,31.199278629395856
01044,129,181,40.310077519379846
01045,43,60,39.53488372093023
01046,190,183,-3.684210526315789
01047,162,302,86.41975308641975
01049,730,869,19.041095890410958
01050,65,65,0.0
01051,25,24,-4.0
01052,69,81,17.391304347826086
01053,9317,10117,8.586454867446601
01054,250,385,54.0
01056,63,66,4.761904761904762
01057,85,122,43.529411764705884
01058,161,176,9.316770186335404
01060,117,122,4.273504273504273
01061,241,321,33.19502074688796
01062,163,279,71.16564417177914
01063,123,160,30.081300813008134
01064,166,238,43.373493975903614
01065,417,562,34.77218225419664
01066,16,22,37.5
01067,54,68,25.925925925925924
01068,139,157,12.949640287769784
01069,373,450,20.64343163538874
01071,1281,1822,42.232630757220925
01072,701,918,30.955777460770328
01073,257,304,18.28793774319066
01074,451,563,24.833702882483372
01075,244,340,39.34426229508197
01076,40,37,-7.5
01077,38,35,-7.894736842105263
01078,377,513,36.07427055702917
01079,143,167,16.783216783216783
01080,155,151,-2.5806451612903225
01081,160,160,0.0
01082,147,150,2.0408163265306123
01083,168,237,41.07142857142857
01084,150,206,37.333333333333336
01085,81,95,17.28395061728395
01087,53,77,45.28301886792453
01088,199,279,40.20100502512563
01089,401,603,50.374064837905244
01090,67,92,37.3134328358209
01092,299,405,35.45150501672241
01093,1111,1344,20.97209720972097
01094,164,162,-1.2195121951219512
01095,171,200,16.95906432748538
01096,201,237,17.91044776119403
01098,244,330,35.24590163934426
01099,293,421,43.68600682593857
01100,36,55,52.77777777777778
01101,33,32,-3.0303030303030303
01102,194,221,13.917525773195877
01103,407,675,65.84766584766585
01104,94,139,47.87234042553192
01105,319,538,68.65203761755487
01106,40,41,2.5
01107,30,32,6.666666666666667
01108,243,306,25.925925925925924
01109,479,670,39.87473903966597
01110,36,34,-5.555555555555555
01111,30,34,13.333333333333334
01112,82,95,15.853658536585366
01113,143,188,31.46853146853147
01114,128,156,21.875
01115,254,309,21.653543307086615
01116,125,123,-1.6
01117,10,25,150.0
01118,249,275,10.441767068273093
01121,19,22,15.789473684210526
01123,257,290,12.840466926070038
01124,141,135,-4.25531914893617
01125,138,149,7.971014492753622
01127,123,133,8.130081300813007
01128,57,85,49.122807017543856
01129,58,60,3.4482758620689653
01130,425,567,33.411764705882355
01133,82,118,43.90243902439025
