COMMUNE_CODE,PARC_2011,PARC_2022,evo_11_22
01001,0,1,inf
01004,3,64,2033.3333333333333
01005,0,3,inf
01007,0,7,inf
01008,0,2,inf
01009,0,1,inf
01010,0,3,inf
01011,0,1,inf
01012,0,2,inf
01014,0,28,inf
01015,0,3,inf
01016,0,1,inf
01017,0,1,inf
01021,1,8,700.0
01022,0,4,inf
01024,1,12,1100.0
01025,1,6,500.0
01026,0,1,inf
01027,1,6,500.0
01028,0,3,inf
01029,0,2,inf
01030,0,6,inf
01031,0,21,inf
01032,0,14,inf
01033,0,28,inf
01034,2,24,1100.0
01035,1,0,-100.0
01036,1,2,100.0
01038,0,2,inf
01039,0,1,inf
01040,0,0,
01041,1,2,100.0
01042,0,1,inf
01043,2,100,4900.0
01044,0,1,inf
01045,0,2,inf
01046,0,4,inf
01047,0,9,inf
01049,2,15,650.0
01050,0,2,inf
01052,0,1,inf
01053,10,255,2450.0
01054,0,7,inf
01056,0,2,inf
01057,0,1,inf
01058,0,1,inf
01060,1,1,0.0
01061,0,3,inf
01062,0,3,inf
01063,0,6,inf
01064,1,3,200.0
01065,0,8,inf
01066,0,1,inf
01068,0,2,inf
01069,1,8,700.0
01071,5,56,1019.9999999999999
01072,0,13,inf
01073,0,1,inf
01074,0,9,inf
01075,1,9,800.0
01077,0,0,
01078,1,8,700.0
01079,0,1,inf
01080,0,2,inf
01081,0,1,inf
01082,0,3,inf
01083,0,1,inf
01084,0,3,inf
01085,0,2,inf
01087,1,1,0.0
01088,0,1,inf
01089,0,5,inf
01090,0,2,inf
01092,1,6,500.0
01093,0,13,inf
01094,0,3,inf
01096,0,0,
01098,0,4,inf
01099,0,6,inf
01100,0,1,inf
01102,0,2,inf
01103,0,13,inf
01104,0,1,inf
01105,0,13,inf
01107,0,1,inf
01108,1,5,400.0
01109,0,6,inf
01110,0,1,inf
01112,0,1,inf
01113,0,1,inf
01114,0,3,inf
01115,0,4,inf
01116,1,0,-100.0
01118,0,5,inf
01123,0,1,inf
01124,1,1,0.0
01125,0,2,inf
01127,0,1,inf
01128,0,1,inf
01129,0,2,inf
01130,0,9,inf
01133,0,0,
01134,0,9,inf
01135,2,22,1000.0
01136,0,2,inf
01138,0,2,inf
01140,0,4,inf
01142,1,37,3600.0
01143,10,108,980.0000000000001
01145,0,3,inf
01146,0,1,inf
01147,0,1,inf
01148,0,10,inf
01149,0,6,inf
01150,0,1,inf
01151,1,7,600.0
01152,0,3,inf
01153,3,22,633.3333333333333
01156,0,5,inf
01157,0,14,inf
01158,0,3,inf
01159,0,16,inf
01160,5,55,1000.0
01163,0,4,inf
01165,0,6,inf
01166,0,14,inf
01167,1,1,0.0
01169,0,4,inf
01170,0,4,inf
01171,0,6,inf
01173,8,66,725.0
01175,0,4,inf
01177,0,1,inf
01179,0,7,inf
01180,0,10,inf
01181,0,9,inf
01183,0,7,inf
01184,0,0,
01185,0,7,inf
01187,0,1,inf
01188,0,2,inf
01189,0,2,inf
01191,0,1,inf
01192,1,8,700.0
01194,1,24,2300.0
01195,1,10,900.0
01196,0,3,inf
01197,0,1,inf
01199,0,5,inf
01200,0,1,inf
01202,0,22,inf
01203,0,2,inf
01204,0,2,inf
01206,0,4,inf
01207,0,2,inf
01209,0,7,inf
01210,0,2,inf
01211,0,2,inf
01212,0,1,inf
01213,0,5,inf
01214,0,1,inf
01216,0,6,inf
01224,0,13,inf
01227,0,1,inf
01228,0,1,inf
01229,1,5,400.0
01230,0,2,inf
01231,0,5,inf
01232,0,3,inf
01234,0,1,inf
01235,0,2,inf
01236,0,5,inf
01237,0,14,inf
01238,0,14,inf
01239,0,1,inf
01240,0,1,inf
01241,0,6,inf
01242,0,1,inf
01243,0,5,inf
01244,0,32,inf
01245,1,5,400.0
01246,0,7,inf
01247,0,1,inf
01248,1,11,1000.0
01249,1,49,4800.0
01250,0,7,inf
01252,0,1,inf
01254,3,20,566.6666666666667
01258,0,8,inf
01259,0,0,
01260,0,2,inf
01261,0,3,inf
01262,3,17,466.6666666666667
01263,0,10,inf
01264,0,1,inf
01265,1,10,900.0
01266,0,9,inf
01267,0,8,inf
01269,1,7,600.0
01272,0,4,inf
01273,0,2,inf
01275,2,20,900.0
01276,0,10,inf
01277,0,1,inf
01280,0,1,inf
01281,0,46,inf
01283,2,83,4050.0
01284,0,1,inf
01285,0,9,inf
01286,0,3,inf
01288,1,16,1500.0
01289,2,31,1450.0
01290,0,9,inf
01291,0,5,inf
01293,0,2,inf
01294,0,2,inf
01295,0,2,inf
01297,0,1,inf
01301,0,6,inf
01302,0,1,inf
01303,0,5,inf
01304,1,7,600.0
01305,0,5,inf
01306,0,6,inf
01307,0,3,inf
01308,1,3,200.0
01313,2,70,3400.0
01314,0,8,inf
01317,0,1,inf
01318,0,4,inf
01319,0,4,inf
01320,0,27,inf
01321,0,2,inf
01322,0,38,inf
01323,0,1,inf
01325,0,4,inf
01328,0,5,inf
01332,0,2,inf
01333,0,16,inf
01334,0,3,inf
01335,0,3,inf
01336,1,2,100.0
01337,0,3,inf
01338,0,4,inf
01339,2,9,350.0
01342,0,1,inf
01343,0,4,inf
01344,1,20,1900.0
01345,1,5,400.0
01346,0,2,inf
01347,0,11,inf
01348,0,7,inf
01349,1,2,100.0
01350,0,9,inf
01351,0,3,inf
01352,0,2,inf
01353,0,9,inf
01354,5,97,1839.9999999999998
01355,0,2,inf
01358,0,0,
01359,0,1,inf
01360,1,15,1400.0
01361,0,5,inf
01362,0,6,inf
01363,0,2,inf
01364,0,4,inf
01365,0,6,inf
01366,0,3,inf
01368,0,0,
01369,0,5,inf
01370,0,4,inf
01371,0,1,inf
01373,0,7,inf
01374,3,14,366.66666666666663
01376,0,21,inf
01378,0,10,inf
01379,0,0,
01381,0,1,inf
01382,0,1,inf
01383,1,3,200.0
01384,0,4,inf
01385,0,2,inf
01386,1,2,100.0
01387,0,1,inf
01388,0,2,inf
01389,0,7,inf
01390,1,26,2500.0
01391,0,1,inf
01392,0,2,inf
01396,0,1,inf
01397,3,13,333.33333333333337
01398,0,10,inf
01399,4,18,350.0
01401,0,21,inf
01402,0,0,
01403,0,5,inf
01405,1,4,300.0
01407,0,4,inf
01408,0,0,
01410,0,3,inf
01411,0,0,
01412,0,2,inf
01415,0,1,inf
01416,0,4,inf
01418,0,4,inf
01419,5,59,1080.0
01420,0,5,inf
01421,0,3,inf
01422,1,10,900.0
01423,0,3,inf
01424,0,10,inf
01425,0,1,inf
01426,0,9,inf
01427,1,37,3600.0
01430,0,3,inf
01431,0,1,inf
01432,0,3,inf
01433,0,1,inf
01434,0,4,inf
01435,0,17,inf
01436,0,3,inf
01437,0,2,inf
01439,0,1,inf
01443,2,7,250.0
01444,1,3,200.0
01445,0,1,inf
01446,0,6,inf
01447,1,2,100.0
01448,1,0,-100.0
01449,0,1,inf
01450,0,17,inf
01451,3,47,1466.6666666666665
01452,0,1,inf
01453,0,3,inf
01454,0,4,inf
01456,0,1,inf
01457,0,10,inf
02001,0,3,inf
02002,0,1,inf
02003,0,3,inf
02005,0,0,
02006,0,6,inf
02007,0,2,inf
02008,0,1,inf
02010,0,1,inf
02011,0,7,inf
02013,0,1,inf
02014,0,2,inf
02018,0,2,inf
02019,0,1,inf
02022,0,1,inf
02025,0,2,inf
02028,0,3,inf
02031,0,0,
02035,0,2,inf
02037,0,1,inf
02041,0,1,inf
02042,0,1,inf
02047,0,1,inf
02048,0,2,inf
02049,0,3,inf
02051,0,1,inf
02054,0,4,inf
02057,0,2,inf
02058,0,3,inf
02059,0,2,inf
02064,0,14,inf
02065,0,1,inf
02067,0,0,
02070,0,1,inf
02071,0,4,inf
02072,0,1,inf
02073,0,0,
02074,0,3,inf
02075,0,1,inf
02080,0,2,inf
02081,0,2,inf
02083,1,0,-100.0
02085,0,3,inf
02086,0,2,inf
02087,0,1,inf
02089,0,3,inf
02093,0,7,inf
02094,0,3,inf
02095,0,10,inf
02097,0,1,inf
02098,0,1,inf
02101,0,1,inf
02102,0,0,
02103,0,2,inf
02104,0,1,inf
02106,0,4,inf
02109,0,1,inf
02110,0,7,inf
02111,0,2,inf
02114,0,5,inf
02118,0,0,
02119,0,1,inf
02120,0,1,inf
02121,0,1,inf
02123,0,1,inf
02125,1,0,-100.0
02126,0,2,inf
02128,0,13,inf
02131,0,5,inf
02132,0,1,inf
02133,0,1,inf
02134,0,3,inf
02138,0,1,inf
02140,0,2,inf
02141,0,5,inf
02142,0,3,inf
