COMMUNE_CODE,Diesel,Diesel HNR,Electrique et hydrogène,Essence,Essence HNR,Gaz et inconnu,Hybride rechargeable,part_essence,part_diesel,part_electrique,carburant_dominant
01001,313.0,2.0,6.0,213.0,6.0,2.0,1.0,39.226519337016576,57.6427255985267,1.1049723756906076,diesel
01002,102.0,2.0,2.0,52.0,3.0,0.0,0.0,32.298136645962735,63.35403726708074,1.2422360248447204,diesel
01004,5063.0,26.0,113.0,3623.0,143.0,44.0,64.0,39.91846628470692,55.78448655795505,1.2450418686646099,diesel
01005,738.0,5.0,14.0,473.0,18.0,6.0,3.0,37.629276054097055,58.711217183770884,1.1137629276054097,diesel
01006,53.0,1.0,0.0,27.0,0.0,0.0,0.0,33.33333333333333,65.4320987654321,0.0,diesel
01007,1108.0,4.0,22.0,725.0,23.0,7.0,7.0,38.23839662447258,58.438818565400844,1.160337552742616,diesel
01008,316.0,1.0,5.0,224.0,15.0,2.0,2.0,39.64601769911504,55.929203539823014,0.8849557522123894,diesel
01009,159.0,0.0,2.0,96.0,5.0,0.0,1.0,36.50190114068441,60.45627376425855,0.7604562737642585,diesel
01010,533.0,3.0,4.0,256.0,14.0,2.0,3.0,31.41104294478528,65.39877300613497,0.49079754601227,diesel
01011,162.0,0.0,2.0,93.0,1.0,0.0,1.0,35.907335907335906,62.54826254826254,0.7722007722007722,diesel
01012,122.0,0.0,1.0,79.0,1.0,1.0,2.0,38.349514563106794,59.22330097087378,0.48543689320388345,diesel
01013,77.0,0.0,0.0,30.0,0.0,1.0,0.0,27.77777777777778,71.29629629629629,0.0,diesel
01014,1502.0,13.0,17.0,862.0,44.0,12.0,28.0,34.786117836965296,60.613397901533496,0.6860371267150928,diesel
01015,270.0,0.0,4.0,178.0,5.0,2.0,3.0,38.52813852813853,58.44155844155844,0.8658008658008658,diesel
01016,208.0,1.0,2.0,95.0,6.0,0.0,1.0,30.35143769968051,66.45367412140575,0.6389776357827476,diesel
01017,178.0,0.0,2.0,97.0,4.0,2.0,1.0,34.154929577464785,62.676056338028175,0.7042253521126761,diesel
01019,13.0,0.0,0.0,4.0,0.0,0.0,0.0,23.52941176470588,76.47058823529412,0.0,diesel
01021,523.0,2.0,11.0,378.0,16.0,3.0,8.0,40.17003188097769,55.57917109458024,1.1689691817215728,diesel
01022,432.0,2.0,1.0,320.0,12.0,3.0,4.0,41.343669250645995,55.81395348837209,0.12919896640826875,diesel
01023,44.0,0.0,0.0,6.0,0.0,0.0,0.0,12.0,88.0,0.0,diesel
